"discount_id","discount_description","discount_type","start_date","end_date"
"55a8e33c-cd15-4bbe-a0f6-ea5c9da1b201","Seasonal Sale - Enjoy 10% off on selected items!","0.1","2021-10-05","2021-11-19"
"df25f0cc-5e25-4260-8e5a-60029850596a","Flash Sale - Enjoy 50% off on selected items!","0.5","2022-06-01","2023-10-24"
"f289e5cd-fa7e-44ab-8fd3-9a36b1bf3c59","Holiday Sale - Enjoy 25% off on selected items!","0.25","2023-09-12","2023-10-15"
"d0b176f9-9711-404d-836d-c5e2eee9d416","Flash Sale - Enjoy 10% off on selected items!","0.1","2023-02-16","2023-03-24"
"858e4b74-ece4-45c4-90d9-7ebbfe779ad9","Seasonal Sale - Enjoy 15% off on selected items!","0.15","2021-12-08","2021-12-14"
"4b569a72-9362-461c-8ed2-aab870d76ec6","End of Season Clearance - Enjoy 15% off on selected items!","0.15","2022-06-20","2023-11-01"
"683a8480-9e38-428d-93e2-babbfac5d54c","Anniversary Sale - Enjoy 15% off on selected items!","0.15","2021-10-23","2022-04-10"
"c7585c13-5c81-4381-bef9-f5eb2706a98f","Seasonal Sale - Enjoy 10% off on selected items!","0.1","2021-12-19","2023-05-03"
"b2d9921c-9b4f-4de2-93c9-f92ff7a9fd76","Holiday Sale - Enjoy 20% off on selected items!","0.2","2022-03-09","2023-08-20"
"17cca8c1-610a-437e-8abf-b300d5c0d2e1","Holiday Sale - Enjoy 25% off on selected items!","0.25","2023-12-15","2024-01-03"
"6ab9f83b-8ea6-4621-8376-f9b9c528237c","Holiday Sale - Enjoy 15% off on selected items!","0.15","2022-07-15","2022-08-07"
"388b7a79-b2e4-448c-96a0-8832a42da4e0","Seasonal Sale - Enjoy 10% off on selected items!","0.1","2023-07-21","2024-01-13"
"535fb35d-54f8-496d-b32c-9ae380859a72","Seasonal Sale - Enjoy 40% off on selected items!","0.4","2022-07-06","2023-10-07"
"1fc60fec-0072-4ce0-af48-ee53552d2336","End of Season Clearance - Enjoy 15% off on selected items!","0.15","2023-04-02","2023-07-26"
"c44e6f2c-77b3-4278-bf16-c810664046eb","Seasonal Sale - Enjoy 10% off on selected items!","0.1","2023-04-02","2023-06-16"
"1ad9478b-2d03-45a1-854e-6024db51dbc7","Anniversary Sale - Enjoy 10% off on selected items!","0.1","2022-06-11","2022-10-09"
"9fffe190-9656-4d3e-9c83-753bc9da2f30","Anniversary Sale - Enjoy 10% off on selected items!","0.1","2023-09-20","2023-10-20"
"f6dceecb-c9ab-4a4b-8fee-1a31e1584298","Holiday Sale - Enjoy 20% off on selected items!","0.2","2022-11-14","2024-01-07"
"3fdb9989-0428-465d-8360-b89d0a36fc8c","Seasonal Sale - Enjoy 15% off on selected items!","0.15","2023-09-03","2024-01-19"
"7a1efdd4-efda-4e26-b434-3c7d781a92e2","Holiday Sale - Enjoy 15% off on selected items!","0.15","2022-02-15","2023-05-09"
"cc34df3e-9eab-4166-a56b-39c6049c3ab3","Seasonal Sale - Enjoy 10% off on selected items!","0.1","2023-08-06","2024-01-15"
"b05b084a-0666-4be7-ac13-d8f819faa36a","Member-Exclusive Discount - Enjoy 10% off on selected items!","0.1","2023-03-27","2023-11-28"
"e9faf52e-8b8e-44fe-bcff-37dbaaacf0db","Member-Exclusive Discount - Enjoy 20% off on selected items!","0.2","2023-12-06","2023-12-29"
"9350a240-bca2-4f4a-8c2d-222641da6f10","End of Season Clearance - Enjoy 20% off on selected items!","0.2","2023-06-20","2023-11-22"
"11dd0245-59b9-40e7-afb1-c2e23ae609b1","Seasonal Sale - Enjoy 40% off on selected items!","0.4","2023-02-04","2023-12-26"
"a6a55462-5626-4c99-b359-e583428cae53","Seasonal Sale - Enjoy 10% off on selected items!","0.1","2023-02-12","2023-05-06"
